,Lattitude,Longitude
199,32.3724131,-81.3114988
200,34.6125971,-83.5248933
201,33.772179449999996,-116.49529769683983
202,42.7144408,-90.9907697
203,42.3928151,-83.0496438
204,29.1386874,-80.9968286
205,41.8755616,-87.6244212
206,33.8628959,-83.4087709
207,34.02332,-84.360022
208,36.4072377,-105.573284
209,39.977763,-105.1319296
210,42.9167389,-89.2178997
211,36.0174879,-99.2900229
212,39.7392364,-104.984862
213,35.595363,-82.5508407
214,34.8269276,-82.5817053
215,33.4473361,-84.1468616
216,31.1499528,-81.4914894
217,33.4942189,-111.926018
218,28.5421109,-81.3790304
219,45.1602442,-93.0888324
220,35.769799,-91.6409722
221,33.7489924,-84.3902644
222,34.9861914,-84.3713117
223,34.4212053,-84.1190804
224,25.7331105,-80.2585107
225,40.1742759,-75.0437814
226,42.4853125,-83.3771553
227,42.6780758,-88.27619
228,40.0076125,-75.2340695
229,29.8532645,-84.664348
230,33.4942189,-111.926018
231,32.2176855,-82.4134614
232,31.4549719,-83.5108284
233,33.7578725,-117.9859054
234,47.2455013,-122.438329
235,34.1684364,-118.6058382
236,39.36909865,-76.79584212721417
237,33.4942189,-111.926018
238,38.9742502,-94.6851702
239,41.8789942,-87.8436412
240,33.0545709,-84.1557496
241,34.5019651,-84.8986308
242,27.9477595,-82.458444
243,30.3321838,-81.655651
244,38.577359,-92.1724265
245,38.661953,-90.5643258
246,38.8838856,-94.81887
247,47.7564667,-122.3437497
248,30.1760358,-84.3751778
249,48.1810957,-122.1389548
250,30.2274645,-81.3800824
251,43.0166806,-88.0070315
252,39.174625,-84.2958988
253,33.9919085,-83.7184368
254,33.7514966,-84.7477136
255,34.6950278,-84.4827394
256,39.9348351,-75.0307264
257,27.4989278,-82.5748194
258,38.5110803,-122.8473388
259,34.595887,-120.139071
260,39.7284945,-121.8374777
261,37.9577016,-121.2907796
262,41.8755616,-87.6244212
263,36.6915262,-79.8725386
264,29.1871986,-82.1400923
265,27.8963791,-81.8431567
266,41.6681632,-87.7962812
267,41.8755616,-87.6244212
268,44.0505054,-123.0950506
269,46.1377048,-122.934462
270,30.1765914,-85.805386
271,29.8118757,-85.302974
272,34.0659329,-84.6768796
273,42.1633443,-123.6479309
274,36.1672559,-115.148516
275,44.5433331,-93.5760445
276,39.009454,-98.394228
277,33.6676643,-79.8306265
278,33.3254635,-83.6868559
279,26.5865308,-80.052166
280,44.7426933,-92.8518697
281,26.7542312,-80.9336753
